Directory,Questions
211025,"[{'question': 'Should \\( \\xi_3 \\) always be expressed as \\( 1-\\xi_1-\\xi_2 \\) for the computation of triangular elements?', 'coverage': 100}, {'question': 'Is expressing \\( \\xi_3 \\) in this way more complex than the bilinear element?', 'coverage': 100}, {'question': 'In which cases should we use triangular elements?', 'coverage': 100}, {'question': 'Is considering only the linear terms of the strain expansion, when taking the derivatives of \\( u \\), an appropriate approximation in all cases that we will study?', 'coverage': 100}, {'question': 'In the mapping of elemental curve, why is the mapping only a function of xi_1 (not xi_2 as drawn)?', 'coverage': 100}, {'question': 'Why do we need to construct a new direction?', 'coverage': 100}, {'question': 'Why is the det(J_s) equal to d(x_tilde)/d(xi_1)?', 'coverage': 100}, {'question': 'For the dimension of the assembly matrix below, what is n_np and why do we not use n_sd*n_ne any more as we did in the previous lectures for general 3D weak form assembly?', 'coverage': 100}, {'question': 'Can Neumann and Dirichlet boundaries be expressed as vectors? If yes, how are the components of such vectors defined?', 'coverage': 100}, {'question': 'In the image below, can you explain why there is no xi_3 involved while writing J for linear triangles?', 'coverage': 100}, {'question': 'Why do bilinear polynomials need only xi_1 and xi_2 but for linear polynomials, one needs xi_1, xi_2, and xi_3?', 'coverage': 100}, {'question': 'Can you explain the kinematic relation in a physical context?', 'coverage': 100}, {'question': 'Where did the equation for epsilon come from and why is it only the symmetric part of the gradient of u?', 'coverage': 100}, {'question': 'What are the components of the 4th order elasticity tensor?', 'coverage': 100}, {'question': ""Aren't a lot of the components in the elasticity tensor 0 (recalling from undergrad vaguely)?"", 'coverage': 100}, {'question': 'What is the meaning of the kinematic relationship?', 'coverage': 100}, {'question': 'What exactly does the contraction symbol (:) mean?', 'coverage': 100}]"
211103,"[{'question': 'Will we have to hard code those traction boundaries when we have some faces of the element lying on different traction boundaries in different directions, and how does the code recognize elements in the 𝜖𝑁 set if hard coding is not necessary?', 'coverage': 100}, {'question': 'Why do we still write c and d as vectors and not as tensors, considering they get 3 times longer with 3 spatial dimensions?', 'coverage': 100}, {'question': 'Regarding the last comment on the positive definiteness of the stiffness matrix in the lecture of Dirichlet boundary conditions for the global M-V assembly, could you comment on how the elimination of the rigid body modes affect the stability of the system?', 'coverage': 100}, {'question': 'Also, can a stiffness matrix be negative in general?', 'coverage': 100}, {'question': ""Why is the column equal to nsd\\*A+1 and nsd\\*B+2 in lecture 10.16? Shouldn't it be nsd\\*(A-1)+1 and nsd\\*(B-1)+2?"", 'coverage': 100}, {'question': 'Why is the last node not specified for the c vector in lecture 10.13, but it is specified for the d vector?', 'coverage': 100}, {'question': 'Can you explain what rigid body modes are in our stiffness matrix, and (conceptually) how would Dirichlet boundary conditions eliminate them?', 'coverage': 100}, {'question': 'Could you explain the assembly of the Kglobal matrix (confused on where the terms are coming from in the video)?', 'coverage': 100}, {'question': 'We are confused about how column numbers in the K matrix have been written corresponding to the Dirichlet condition. Please refer to the following figure.', 'coverage': 100}, {'question': ""But since K is constructed from each element's stiffness tensor, which holds major and minor symmetry, shouldn't there be symmetry in the global stiffness tensor? In other words, isn't the ordering of neighboring elements in superscript irrelevant as long as it's consistent?"", 'coverage': 100}, {'question': 'We noticed you immediately ""vectorized"" c and d such that they contain all 3D components in one column vector. We assume it\'s because it\'s for the convenience of formulating it into matrix-vector equations, however, could you just keep it in terms of 4D and 5D tensors and run code through that method?', 'coverage': 100}, {'question': 'When it was said that ""The Dirichlet b.c.s should eliminate rigid body motion"", is it a sort of extension to the fact that in 1-D we must have a Dirichlet condition at one end, i.e., there cannot be only Neumann conditions in any one spatial dimension? Or is there something more to it in the 3D case?', 'coverage': 100}, {'question': ""How many terms (which get summed up) are there in each component of the global stiffness matrix? As in the case of the lectures, we had 2 'K' considerations when looking at AB, how many more such terms are there?"", 'coverage': 100}]"
211004,"[{'question': ""We are a bit confused about what the actual meaning of a norm is. Once we have the norms the rest of the math makes sense, but it isn't clear exactly where they come from."", 'coverage': 100}, {'question': 'Where is ""interpolation error estimate in Sobolev spaces"" derived? What is the meaning of it and how to prove it?', 'coverage': 100}, {'question': 'Why the equivalence of H^1 and energy norms can be extended to H^n?', 'coverage': 100}, {'question': 'How can the derivation of epsilon become a variation of pi with respect to u?', 'coverage': 100}, {'question': 'Regarding the finite element error estimates for convergence, when we have the H-n norm of the finite element error bounded by the H-r norm of the solution, could you elaborate on what would happen if the solution u is not sufficiently smooth?', 'coverage': 100}, {'question': 'Could you explain again why, in the following screenshot?', 'coverage': 100}, {'question': 'Why is the variational principle derivation not appropriate for heat conduction or mass diffusion physics?', 'coverage': 100}, {'question': 'For the Sobolev space, is Hilbert space a subset of the Sobolev space (i.e., does the Sobolev space contain all the Hn space)?', 'coverage': 100}, {'question': ""What is the physical representation of the function \\( w \\) which is perturbing the field we're looking at in terms of steady state linear elasticity?"", 'coverage': 100}, {'question': 'Why would the function \\( w \\) not apply to time-dependent problems?', 'coverage': 100}, {'question': 'For the rate of convergence in FEM solutions, does \\( m \\) indicate the order of the Hilbert Space? In other words, for the \\( L^2 \\) norm, would \\( m \\) stay consistent for all cases?', 'coverage': 100}, {'question': ""Since we've derived all we need for the 1D elliptical problem up to this point, what should we look forward to for the rest of the semester?"", 'coverage': 100}, {'question': '1) How do we know whether the energy is stable or unstable when it is at equilibrium?', 'coverage': 100}, {'question': '2) How do we know that the function \\( u \\) that minimizes the functional is unique? Just like how a function can have more than one equilibrium, can a functional have more than one equilibrium?', 'coverage': 100}, {'question': '3) Why are we considering variational methods to obtain the weak form? What does it offer as an advantage that we did not have in our methods so far?', 'coverage': 100}, {'question': '4) Is it right to think of a functional as a function of a function?', 'coverage': 100}]"
211020,"[{'question': 'How does the number of quad points affect the polynomial order we are integrating in the 2D and 3D cases? Is it the same rule as in the 1D case?', 'coverage': 100}, {'question': 'Is there a specific rule for choosing the quad points, or are they the same as the ones used in the 1D case?', 'coverage': 100}, {'question': 'Why are we not able to use the Gaussian quadrature rule for the simple basis functions? Why is that option not optimal?', 'coverage': 100}, {'question': 'Why can the simplex elements lead to an incomplete basis?', 'coverage': 100}, {'question': 'Why is the Gaussian quadrature rule no longer optimal for higher-order tetrahedral elements?', 'coverage': 100}, {'question': 'Can we use a tensor product basis on simplex elements? It seems like it would require creative node placement for higher-order basis functions, but could that not restore some of the information lost in going to a minimal basis?', 'coverage': 100}, {'question': 'Why are the basis functions of triangular elements xi in each direction?', 'coverage': 100}, {'question': 'What other methods are used for numerical integration in higher order tetrahedra?', 'coverage': 100}, {'question': 'Is there a specific order where we use a different method than Gaussian quadrature?', 'coverage': 100}, {'question': 'Why are we looking at the node 5 (the one between 1 and 2, with the arrow), not the node at the vertex as shown in the upper schematic?', 'coverage': 100}, {'question': 'Is it worth deriving the generalized basis function for 2D and 3D cases, or just use a tensor product in all three directions?', 'coverage': 100}, {'question': 'In terms of the coding assignment, is a tensor product just multiplication?', 'coverage': 100}, {'question': 'In the example where $$N^5(\\xi_1,\\xi_2,\\xi_3)=\\tilde{N}^2(\\xi_1) \\tilde{N}^1(\\xi_2) \\tilde{N}^1(\\xi_3)$$, what was the logic of choosing B = 2, C = 1, and D = 1?', 'coverage': 100}, {'question': ""Shouldn't N3 and N4 be interchanged?"", 'coverage': 100}, {'question': 'How do we know the proper order of the permutations or does the order even matter?', 'coverage': 100}, {'question': 'What other types of parent domains are used (in the industry or special cases) and what advantages do each hold over the others?', 'coverage': 100}]"
211027,"[{'question': ""Since mu is the shear modulus, does lambda have any physical meaning as well, or is it just derived from the Young's modulus and Poisson's ratio?"", 'coverage': 100}, {'question': 'Where did we get the result that ℂ is positive definite?', 'coverage': 100}, {'question': 'How can we get the conclusion that stress is symmetric? What does ""balance of angular momentum"" mean?', 'coverage': 100}, {'question': 'Where does the formula for C for isotropic materials come from? To be more precise, how does isotropy relate to the elements of the formula?', 'coverage': 100}, {'question': 'After integration by parts is done when getting the weak form from the strong form, why is there still the integration and derivation for the first term ∫(𝑤𝑖𝜎𝑖𝑗),𝑗𝑑𝑉?', 'coverage': 100}, {'question': ""Since mu is the shear modulus, does lambda have any physical meaning as well or is it just derived from the Young's modulus and Poisson's ratio?"", 'coverage': 100}, {'question': 'Could you elaborate a little bit on why the standard finite element methods that we used will not work well for the constrained linear elasticity problems?', 'coverage': 100}, {'question': 'In the image below, can you explain how the smoothness of the ψ function implies the given equation?', 'coverage': 100}, {'question': '1. What are Lamé constants in the context of material science or engineering?', 'coverage': 100}, {'question': '2. Could you explain the abstract notation of tensors and how they are generally represented?', 'coverage': 100}, {'question': '3. What is the operation or definition of the general tensor Theta in relation to another tensor C?', 'coverage': 100}, {'question': 'How were the relationships \\(c_{long}=\\sqrt{\\frac{\\lambda+2\\mu}{p}}\\) and \\(c_{shear}=\\sqrt{\\frac{\\mu}{p}}\\) derived?', 'coverage': 100}, {'question': 'What do \\(p\\) and \\(c\\) mean in these equations?', 'coverage': 100}, {'question': 'What do these relationships mean in a physical context?', 'coverage': 100}, {'question': 'Is there a reason that, in the 3-D form of the 1-D linear elastic weak form, we no longer have A (or Volume if it scales up in dimension) in our integrands?', 'coverage': 100}, {'question': 'How did the application of the divergence theorem result come about at the end of 10.05?', 'coverage': 100}, {'question': 'From what I know of the divergence theorem, it should be that F is a vector and n is the unit normal to surface S. Are we comparing w to the vector differential operator?', 'coverage': 100}]"
211108,"[{'question': 'Why do we consider the degree of freedom for the weight functions to be time-independent? And why do we only consider degrees of freedom for u() to be time-dependent?', 'coverage': 100}, {'question': 'Why should we discuss the lumped element matrix? What is the application of this form?', 'coverage': 100}, {'question': 'We are a little confused with how the lumped element mass matrix is arrived at, specifically the diagonalization part.', 'coverage': 100}, {'question': 'How might the diagonalization of the lumped element mass matrix contribute to the final global matrix vector form for this 3D linear parabolic problem?', 'coverage': 100}, {'question': 'What is meant by a consistent element mass matrix?', 'coverage': 100}, {'question': 'Is there a specific reason for introducing the lumped matrix?', 'coverage': 100}, {'question': 'What would a time-dependent degree-of-freedom function look like? Are these functions consistent across all elements in a mesh?', 'coverage': 100}, {'question': 'In the global assembly of the time-dependent term, are we assuming to know \\( \\dot{\\overline{d}} \\)? I ask this because no information is provided for the time derivatives in the problem statement.', 'coverage': 100}, {'question': ""In many places throughout the lectures, the length of the global C vector is written as \\( nn_e - n_D \\). Shouldn't it be \\( n - n_D \\)?"", 'coverage': 100}, {'question': 'What are some examples of the boundary conditions mentioned in the remark?', 'coverage': 100}, {'question': 'Can you elaborate on the semi-discrete FE formulation?', 'coverage': 100}, {'question': 'Just wanted to confirm that the time-dependent term will contribute to the F vector on the right side, which was mentioned later in the lectures?', 'coverage': 100}, {'question': 'Currently, in the following picture, F is not time-dependent?', 'coverage': 100}, {'question': 'But when we account for the Dirichlet BCs in time-dependent terms, the F vector becomes time-dependent.', 'coverage': 100}, {'question': 'Is it the same as the redefined F in 11.06?', 'coverage': 100}, {'question': 'In general, for any weak form of parabolic PDEs, is the difference between its respective elliptic ""steady-state"" PDE version only just one additional time derivative term? If this is not the appropriate generalization, then what is the general change of the weak form from elliptic to parabolic PDEs?', 'coverage': 100}, {'question': ""Isn't the assembly of the global mass matrix consistent with the global stiffness matrix? In other words, for coding, would it be more efficient to do both global assemblies in the same iterative loops?"", 'coverage': 100}, {'question': ""What's the advantage of the lumped element mass matrix over the consistent mass matrix? Is it because it's a diagonal matrix and matrix multiplication is computationally more efficient and we have one more loop for time integrations?"", 'coverage': 100}, {'question': 'What limitations on time step size do we have in this semi-discrete method?', 'coverage': 100}, {'question': 'Is f in unsteady state heat conduction defined differently from the f in steady state? If we take the steady form as a special case of the unsteady form where du/dt = 0, we will have 0 = -ji,i+ f, which is different from the one in 7.01.', 'coverage': 100}]"
210920,"[{'question': ""How can we prove the positive definiteness of a general 'n' sized matrix by inspecting the eigenvalues and its relation with E? If not through eigenvalues being positive, then what is an alternate way to conclude that E must be positive?"", 'coverage': 100}, {'question': 'What are some of the implications of having a positive definite matrix or positive semi-definite matrix in the context of this course? Is the stiffness matrix always positive definite or positive semi-definite?', 'coverage': 100}, {'question': 'It was mentioned that K is tri-diagonal because we have the single derivative of &, and linear basis functions. We understand that we have these conditions, but together, how do these mathematically conclude that a matrix is tri-diagonal?', 'coverage': 100}, {'question': 'What is exactly meant by interchangeability in the context of the symmetry arising when the positions of \\(w_{h,x}\\) and \\(u_{h,x}\\) in the integral \\(\\int w_{h,x} E u_{h,x} \\, dx\\) are interchangeable? Is it just because they are in multiplication or does it mean something else?', 'coverage': 100}, {'question': 'How can ""all \\(w\\) belong to \\(V_h\\)"" be equal to ""all \\(c\\) belong to \\(\\mathbb{R}^{n_{\\text{el}}}\\)""?', 'coverage': 100}, {'question': 'Is ""<all \\(c\\) belong to \\(\\mathbb{R}^{n_{\\text{el}}}\\)>"" a more broad concept than ""<all \\(w\\) belong to \\(V_h\\)>""?', 'coverage': 100}, {'question': 'Here are the individual questions extracted from the provided text:', 'coverage': 100}, {'question': '- Our first question is regarding the force vector of the final form of the FE equation, which is given as the summation of the forcing function, traction term, and the Dirichlet boundary condition for this case. From video 03.08ct, the Dirichlet boundary map can be defined using node number and values. This map only includes Dirichlet boundary values, and I wonder if the application of the Neumann boundary condition is defined in a similar way or if we only need to apply it when constructing the F_local matrix in assembly as shown in the final form?', 'coverage': 100}, {'question': '- Could you remind us of the reason that we include = 0 for the function space for the pure Dirichlet boundary problem?', 'coverage': 100}, {'question': 'In the above picture, how did we go from the second last equation to the last equation?', 'coverage': 100}, {'question': 'The professor explained something related to all c belonging to the real space of order n_el. Can you elaborate more on the same?', 'coverage': 100}, {'question': 'What is the L2 norm error?', 'coverage': 100}, {'question': 'Why do we perform a procedure of ""cancelling columns"" to apply boundary conditions and form a square matrix, instead of using a general procedure for Kd = F?', 'coverage': 100}, {'question': 'What is a banded tridiagonal structure?', 'coverage': 100}, {'question': 'When expanding the integral form of w^hfA dx, why does the second term, which includes a {1 1} vector, expand to include a {2 2 ... 2} vector?', 'coverage': 100}, {'question': 'When would the K matrix not be symmetric, and is it related to using different sets of basis functions?', 'coverage': 100}, {'question': 'What exactly is a gradient of a basis function?', 'coverage': 100}]"
211006,"[{'question': 'Why is the heat conduction along xi zero when xi*k*xi=0, given that xi is always non-zero?', 'coverage': 100}, {'question': 'How would the H1 Hilbert space integral expression look like now that \\( u \\) or \\( w \\) is a vector?', 'coverage': 100}, {'question': ""How do we do the partitioning of the boundary since now we're dealing with 2D surfaces?"", 'coverage': 100}, {'question': 'How does the partitioning work when we have 3 or more surfaces intersecting at the same node?', 'coverage': 100}, {'question': 'How does the node numbering work?', 'coverage': 100}, {'question': 'Is there an equivalent polar form of the steady state heat conduction in 3D?', 'coverage': 100}, {'question': 'Does the behavior of the tri linear basis function in 3D on an edge of the cube similar to that of bi linear basis function in 1D over a single element?', 'coverage': 100}, {'question': 'In other words, how does the tri linear basis function connect the 8 nodes of the hexahedron?', 'coverage': 100}, {'question': 'The midpoint nodes, which are used for the higher order basis function, are also physical (real) nodes. However, based on the coding assignment, the calculation results are only stored at the edge of the element node. Which one is correct?', 'coverage': 100}, {'question': 'Why is it important for the two boundaries (Dirichlet and Neumann) to be disjoint? Does it have to be disjoint for all cases such as Heat conduction or Mass Diffusion? Why not keep a free boundary with no boundary condition?', 'coverage': 100}, {'question': 'I am not following this product rule step in the weak form derivation. Why are there two w,i terms?', 'coverage': 100}, {'question': ""Is the expression -j*n=jn means jn's value is n on the j axis?"", 'coverage': 100}, {'question': 'What is the connection between the fundamental theorem of calculus (FTC) and the divergence theorem?', 'coverage': 100}, {'question': 'What is the meaning of \\(-j_{i,i} = f\\) on \\(\\omega\\) considering the strong form?', 'coverage': 100}, {'question': 'Could you reclarify the conventions of coordinate notation? It was a little too brief and fast during the lectures.', 'coverage': 100}, {'question': 'How can we visualize a unit normal outward to a 3D boundary? Is it the resultant of the normal vectors of all unit 2D surfaces that combine to make the 3D boundary?', 'coverage': 100}, {'question': 'How well are hexahedral element subdomains able to make up a curved surface for our domains, especially compared to other element types like tetrahedral? Is this something we need to take into account when choosing element types and sizes?', 'coverage': 100}]"
211110,"[{'question': 'Theoretically and practically (coding), will there be any differences in the results solving by v-form and d-form?', 'coverage': 100}, {'question': ""We were a little confused about how we got the vectors 𝜓𝑚 from 𝜙𝑚. Let's say we get 𝜙𝑚 vectors by solving the EVP, then we want to orthonormalize them. But, in the lecture, we directly compute 𝜓𝑚𝑀𝜓𝑘? Where is that set coming from? How are we performing operations on 𝜓 when we don't know yet what it is?"", 'coverage': 100}, {'question': 'We were wondering if for higher-order ODE the same procedure can be applied iteratively? For example, if we have a second-order ODE, can we discretize it: once for the second derivative into first-order derivatives and then do the same procedure as described in the lecture for the first-order derivatives?', 'coverage': 100}, {'question': 'How can we know Fn+1? What is the difference between F(tn+1) and Fn+1?', 'coverage': 100}, {'question': ""In Lecture 11.11, I didn't quite understand how is this defined? Is this by definition?"", 'coverage': 100}, {'question': 'What are the situations that we need to use the explicit method (alpha = 0) to solve?', 'coverage': 100}, {'question': 'What are the situations we need to use the implicit method (alpha is non zero)?', 'coverage': 100}, {'question': 'How does finding the set help us determine the stability of the time-algorithm?', 'coverage': 100}, {'question': 'Why are the implicit method and explicit method referred to as such? Is there any significance in using these specific terminologies?', 'coverage': 100}, {'question': 'What are the differences between using the v-method and the d-method? Are there advantages to either, or is it a matter of preference?', 'coverage': 100}, {'question': ""You mentioned that you could use the finite element method for time discretization over the finite differences method. You argued that we don't do FEM because of visualization of 4D information. Could you elaborate more on why we use the finite differences method for time discretization? Because I don't think we completely appreciate still why to use finite difference method if ease of visualization is the only argument."", 'coverage': 100}, {'question': 'Here is the provided text with the questions split:', 'coverage': 100}, {'question': ""- While explaining the notation for time discrete ODE, the prof. corrected 'time continuous solution' to 'time exact solution', how would that change things?"", 'coverage': 100}, {'question': ""- A little confused about the restrictions on Alpha for the d-method described in lecture 11.09. Can we use alpha = 0 since it doesn't show up in a denominator in our final form?"", 'coverage': 100}, {'question': '- If we can use alpha=0, is this an explicit method like for the v-method?', 'coverage': 100}, {'question': '- Otherwise, is it an implicit method?', 'coverage': 100}]"
210908,"[{'question': 'In lecture, Professor mentions that we are using \\( H^p \\), with \\( p=1 \\), to be our function space. What happens if we pick \\( p = 2 \\) and include the second-order derivative as well? Is that improving the accuracy of the solution?', 'coverage': 100}, {'question': 'Can we consider this scenario to be similar to how a Taylor expansion approximation gets closer to the nominal value of the function as we add higher-order terms?', 'coverage': 100}, {'question': 'The second question is about the example function covered in lecture 2.03 discussion regarding the function \\( v(x) \\) that fails the definition of Hilbert space (the function on the bottom). To resemble a delta function, does \\( V,x \\) need to be zero everywhere else except at \\( x=x_0 \\)?', 'coverage': 100}, {'question': 'Why do we need to use pointers? Is there any similar function in MATLAB?', 'coverage': 100}, {'question': 'If we do not think of polynomial function space, what does the order of dimension of function space mean?', 'coverage': 100}, {'question': 'Should we approximate with Taylor series?', 'coverage': 100}, {'question': 'If finite dimension weak form cannot imply the strong form, what will influence the final accuracy of the approximation?', 'coverage': 100}, {'question': 'Considering that discontinuities cannot be present in our function for it to be a part of, what implications does this have on the possible solutions to our original equation?', 'coverage': 100}, {'question': 'For example, what will happen if the exact solution has a discontinuous feature?', 'coverage': 100}, {'question': 'Additionally, can we enrich our solution space to allow for these discontinuous features?', 'coverage': 100}, {'question': 'When is it more valuable to use a pointer rather than just calling out the variable? I get that a pointer stores the address but if b is a pointer to the address of a, why would I call out b* instead of just a?', 'coverage': 100}, {'question': 'How do we, in general, choose the weighting function such that it vanishes at the boundary?', 'coverage': 100}, {'question': 'In the definition of H1, L2 was introduced for dimensional purposes. Why should we use L2 here?', 'coverage': 100}, {'question': ""What if we don't use L2 here? What kind of misleading will occur? Can you give some specific examples?"", 'coverage': 100}, {'question': 'What is the purpose of using 1 to the power of H in H1?', 'coverage': 100}, {'question': ""More specifically, what would be the conditions we'd like to apply quadratic or even higher power of H?"", 'coverage': 100}, {'question': 'Can we discern the boundary conditions by looking at the weak form?', 'coverage': 100}, {'question': 'If yes, is the following derivation the correct way for converting the weak form into the strong form?', 'coverage': 100}, {'question': 'What is the meaning of the function 𝜙(𝑥) introduced in 1.08?', 'coverage': 100}, {'question': 'It seems the equation 𝑤(𝑥) = 𝜙(𝑥)(−𝜎,𝑥−𝑓) came out of nowhere.', 'coverage': 100}, {'question': 'Will we be able to use Visual Studio to run our C++ code?', 'coverage': 100}, {'question': 'Why do we need it to be an L2 function (P = 2) as opposed to other L-functions (P = 1, 3, etc.) when dealing with these Hilbert spaces?', 'coverage': 100}, {'question': 'How does the proof work for all functions when the professor considers a particular class of functions in lecture 1.08 while proving that the work form implies the strong form?', 'coverage': 100}, {'question': 'Can you elaborate more on the class of functions and its role in the proof?', 'coverage': 100}, {'question': 'Are there any special conditions of σ and f where the above weighting function form cannot be assumed?', 'coverage': 100}, {'question': 'Can we assume a positive sign for σ and f?', 'coverage': 100}, {'question': 'When we mention ""greater than or equal to zero"", ""=0"" is needed to prove the strong form, but why does it have to be positive?', 'coverage': 100}, {'question': 'Is there a relationship between?', 'coverage': 100}]"
210927,"[{'question': 'From where are we getting certain values of ξ and w corresponding to different nint?', 'coverage': 100}, {'question': 'Midside nodes have a larger contribution. Is there any physical reason?', 'coverage': 100}, {'question': 'For the coding assignment, will there be any walkthrough or tutorials on how to use remote Linux (CEAN) in class?', 'coverage': 100}, {'question': 'We have a question regarding the Gaussian quadrature. How do we find those specific values of zeta where we want to calculate our function? Are those the values for which we get the highest accuracy of the approximation?', 'coverage': 100}, {'question': '- My question is whether well-established quadrature rules exist for rational functions?', 'coverage': 100}, {'question': '- If not, do we use an excess number of quadrature points to integrate the function, or do we resort to Taylor-expanding the integrand into non-rational polynomials?', 'coverage': 100}, {'question': '- How do we decide the suitable number of quadrature points (quadRule) when considering the whole integrand?', 'coverage': 100}, {'question': '- Is it from the order of the function with the highest order in the integrand?', 'coverage': 100}, {'question': 'What is the importance of the bandwidth of the stiffness matrix, referring to the discussion in lecture 4.09 where it was noted that the bandwidth of the stiffness matrix is 5 in the case of quadratic basis functions?', 'coverage': 100}, {'question': 'Consider we have polynomial basis functions of order k. Is there a way to determine how many nodes are there on an element?', 'coverage': 100}, {'question': 'The professor mentioned that numerical integration, specifically Gaussian Quadrature, will be used when the function is complicated and basic functions are high order. What is the meaning of ""complicated,"" and how will Gaussian Quadrature be specifically used in high order basic functions?', 'coverage': 100}, {'question': ""How does Gaussian quadrature apply to adapting to a problem where E or F are complicated functions? I'm still not sure where that would come into the solution setup (i.e., where is it used in the steps of obtaining the matrix-vector weak form?)."", 'coverage': 100}, {'question': 'I also wonder if future assignments will be more approachable if some of the code requirements carry over to the next projects. Will it be easier to understand what is being asked due to familiarity with deal.II, etc.?', 'coverage': 100}, {'question': ""What is stopping us from going as high as possible for selecting quadrature point order (i.e., n_int = 5)? Is it only due to computational cost, or is there any other reason why we shouldn't do it (i.e., oversampling)?"", 'coverage': 100}, {'question': 'For the coding assignment, it states we should run the code for 3, 10, 100, and 1000 element-sized meshes. For the submission, it states that we should report results for the 100 element mesh only. Is the 3, 10, and 1000 element meshes for our own practice to see the difference between meshes or should we report the differences?', 'coverage': 100}, {'question': 'Why are ξ and w in terms of n in Gaussian quadrature defined as these values?', 'coverage': 100}]"
210913,"[{'question': 'We are a bit confused on why we are able to go from integrating over to integrating over and summing across e since the interior nodes are not included in the second case. Is it because the integration on these points is zero?', 'coverage': 100}, {'question': 'For the simple basis functions, we have linear polynomials for one element because we only have 2 nodes/element. What happens if we choose an element to have multiple nodes? How would the basis functions be defined?', 'coverage': 100}, {'question': 'In the class, we took all the shape functions to be the same. If that weren’t the case, would the shape functions still be linear polynomials? Or even polynomials? And how do we find them?', 'coverage': 100}, {'question': 'What is the advantage of isoparametric node mappings when we have higher-order solution representations in the elements?', 'coverage': 100}, {'question': 'It seems like quadratic mappings between the local and global coordinates is extra effort; what is the advantage?', 'coverage': 100}, {'question': ""What's the purpose of mapping the physical domain to a Bi-unit domain instead of a single unit domain?"", 'coverage': 100}, {'question': 'Why can we use the same basis function representing \\( u_h \\) and \\( w_h \\) to represent \\( x_e(\\xi) \\)?', 'coverage': 100}, {'question': 'Did we just choose the form of the basis function for our convenience? Can we choose any other type of linear polynomial?', 'coverage': 100}, {'question': 'What exactly does ""degree of freedom"" mean? Also, is \\( d^2_e = d^1_e + 1 \\)?', 'coverage': 100}, {'question': 'Why do we choose the value 1 for the local nodes? After mapping, does the basis function from the bi-unit domain \\( N(x) \\) also have value 1 on nodes?', 'coverage': 100}, {'question': 'Why is there a need for the bi-unit domain?', 'coverage': 100}, {'question': ""Why can't we express the finite elements in the physical domain?"", 'coverage': 100}, {'question': 'Is introducing a bi-unit domain only to make the calculations simpler and/or to standardize them?', 'coverage': 100}, {'question': 'Could you elaborate on the isoparametric map?', 'coverage': 100}, {'question': 'Are there other consequences of the isoparametric mapping besides being invertible?', 'coverage': 100}, {'question': 'Are all isoparametric mappings invertible?', 'coverage': 100}, {'question': 'Why do we need degree of freedom when constructing \\( u^e_h(x) = \\sum N_A(x) d^A \\)? And what does it stand for? Is there any physical meaning?', 'coverage': 100}, {'question': 'Why do we define \\( \\Omega^e \\) as an open interval? Can that be a half-open half-closed interval?', 'coverage': 100}, {'question': 'What is the meaning of DOFs \\( d^A_e \\)? Is there a physical meaning or only mathematical?', 'coverage': 100}, {'question': 'How does the Kronecker delta property in \\( N_A(\\xi_B) = \\delta_{AB} = \\begin{cases} 1 & \\text{if } A = B, \\\\ 0 & \\text{if } A \\neq B \\end{cases} \\) help the mapping from bi-unit domain to physical domain? Why is the index of summation ""A""? (as in \\( u^e_h(x) = \\sum_{A=1}^{Nn} N_A(x) d^A \\))?', 'coverage': 100}, {'question': 'Is the Kronecker Delta property defined only at the nodes?', 'coverage': 100}, {'question': 'When we derived the mapping between the physical domain and the bi-unit domain, we said that \\( x_e(\\xi) = \\Sigma_A N_A(\\xi) x^A \\). By this expression, do we mean that we are approximating the actual geometry by some constructed function?', 'coverage': 100}, {'question': 'Is there a way to just take \\( x=0 \\) and \\( x=L \\) as the only nodes and find out an answer, what will be the error percentage in that assumption?', 'coverage': 100}, {'question': 'With regards to the closure property, is it safe to assume that the nodes are not unique between the elements (hence do elements share nodes)?', 'coverage': 100}, {'question': 'Does this assumption enable meshing?', 'coverage': 100}, {'question': 'How do we get the value of Degree of Freedom in lecture 2.05?', 'coverage': 100}, {'question': 'Why do we need to multiply the basis functions by the Degree of Freedom when we write the expression of the trial solution?', 'coverage': 100}]"
